"Geo Code","Geo Name","Line Number"
"2021A0011A0A","A0A",2
"2021A0011A0B","A0B",2633
"2021A0011A0C","A0C",5264
"2021A0011A0E","A0E",7895
"2021A0011A0G","A0G",10526
"2021A0011A0H","A0H",13157
"2021A0011A0J","A0J",15788
"2021A0011A0K","A0K",18419
"2021A0011A0L","A0L",21050
"2021A0011A0M","A0M",23681
"2021A0011A0N","A0N",26312
"2021A0011A0P","A0P",28943
"2021A0011A0R","A0R",31574
"2021A0011A1A","A1A",34205
"2021A0011A1B","A1B",36836
"2021A0011A1C","A1C",39467
"2021A0011A1E","A1E",42098
"2021A0011A1G","A1G",44729
"2021A0011A1H","A1H",47360
"2021A0011A1K","A1K",49991
"2021A0011A1L","A1L",52622
"2021A0011A1M","A1M",55253
"2021A0011A1N","A1N",57884
"2021A0011A1S","A1S",60515
"2021A0011A1V","A1V",63146
"2021A0011A1W","A1W",65777
"2021A0011A1X","A1X",68408
"2021A0011A1Y","A1Y",71039
"2021A0011A2A","A2A",73670
"2021A0011A2B","A2B",76301
"2021A0011A2H","A2H",78932
"2021A0011A2N","A2N",81563
"2021A0011A2V","A2V",84194
"2021A0011A5A","A5A",86825
"2021A0011A8A","A8A",89456
"2021A0011B0C","B0C",92087
"2021A0011B0E","B0E",94718
"2021A0011B0H","B0H",97349
"2021A0011B0J","B0J",99980
"2021A0011B0K","B0K",102611
"2021A0011B0L","B0L",105242
"2021A0011B0M","B0M",107873
"2021A0011B0N","B0N",110504
"2021A0011B0P","B0P",113135
"2021A0011B0R","B0R",115766
"2021A0011B0S","B0S",118397
"2021A0011B0T","B0T",121028
"2021A0011B0V","B0V",123659
"2021A0011B0W","B0W",126290
"2021A0011B1A","B1A",128921
"2021A0011B1B","B1B",131552
"2021A0011B1C","B1C",134183
"2021A0011B1E","B1E",136814
"2021A0011B1G","B1G",139445
"2021A0011B1H","B1H",142076
"2021A0011B1J","B1J",144707
"2021A0011B1K","B1K",147338
"2021A0011B1L","B1L",149969
"2021A0011B1M","B1M",152600
"2021A0011B1N","B1N",155231
"2021A0011B1P","B1P",157862
"2021A0011B1R","B1R",160493
"2021A0011B1S","B1S",163124
"2021A0011B1T","B1T",165755
"2021A0011B1V","B1V",168386
"2021A0011B1W","B1W",171017
"2021A0011B1X","B1X",173648
"2021A0011B1Y","B1Y",176279
"2021A0011B2A","B2A",178910
"2021A0011B2C","B2C",181541
"2021A0011B2E","B2E",184172
"2021A0011B2G","B2G",186803
"2021A0011B2H","B2H",189434
"2021A0011B2J","B2J",192065
"2021A0011B2N","B2N",194696
"2021A0011B2R","B2R",197327
"2021A0011B2S","B2S",199958
"2021A0011B2T","B2T",202589
"2021A0011B2V","B2V",205220
"2021A0011B2W","B2W",207851
"2021A0011B2X","B2X",210482
"2021A0011B2Y","B2Y",213113
"2021A0011B2Z","B2Z",215744
"2021A0011B3A","B3A",218375
"2021A0011B3B","B3B",221006
"2021A0011B3E","B3E",223637
"2021A0011B3G","B3G",226268
"2021A0011B3H","B3H",228899
"2021A0011B3J","B3J",231530
"2021A0011B3K","B3K",234161
"2021A0011B3L","B3L",236792
"2021A0011B3M","B3M",239423
"2021A0011B3N","B3N",242054
"2021A0011B3P","B3P",244685
"2021A0011B3R","B3R",247316
"2021A0011B3S","B3S",249947
"2021A0011B3T","B3T",252578
"2021A0011B3V","B3V",255209
"2021A0011B3Z","B3Z",257840
"2021A0011B4A","B4A",260471
"2021A0011B4B","B4B",263102
"2021A0011B4C","B4C",265733
"2021A0011B4E","B4E",268364
"2021A0011B4G","B4G",270995
"2021A0011B4H","B4H",273626
"2021A0011B4N","B4N",276257
"2021A0011B4P","B4P",278888
"2021A0011B4R","B4R",281519
"2021A0011B4V","B4V",284150
"2021A0011B5A","B5A",286781
"2021A0011B6L","B6L",289412
"2021A0011B9A","B9A",292043
"2021A0011C0A","C0A",294674
"2021A0011C0B","C0B",297305
"2021A0011C1A","C1A",299936
"2021A0011C1B","C1B",302567
"2021A0011C1C","C1C",305198
"2021A0011C1E","C1E",307829
"2021A0011C1N","C1N",310460
"2021A0011E1A","E1A",313091
"2021A0011E1B","E1B",315722
"2021A0011E1C","E1C",318353
"2021A0011E1E","E1E",320984
"2021A0011E1G","E1G",323615
"2021A0011E1H","E1H",326246
"2021A0011E1J","E1J",328877
"2021A0011E1N","E1N",331508
"2021A0011E1V","E1V",334139
"2021A0011E1W","E1W",336770
"2021A0011E1X","E1X",339401
"2021A0011E2A","E2A",342032
"2021A0011E2E","E2E",344663
"2021A0011E2G","E2G",347294
"2021A0011E2H","E2H",349925
"2021A0011E2J","E2J",352556
"2021A0011E2K","E2K",355187
"2021A0011E2L","E2L",357818
"2021A0011E2M","E2M",360449
"2021A0011E2N","E2N",363080
"2021A0011E2P","E2P",365711
"2021A0011E2R","E2R",368342
"2021A0011E2S","E2S",370973
"2021A0011E2V","E2V",373604
"2021A0011E3A","E3A",376235
"2021A0011E3B","E3B",378866
"2021A0011E3C","E3C",381497
"2021A0011E3E","E3E",384128
"2021A0011E3G","E3G",386759
"2021A0011E3L","E3L",389390
"2021A0011E3N","E3N",392021
"2021A0011E3V","E3V",394652
"2021A0011E3Y","E3Y",397283
"2021A0011E3Z","E3Z",399914
"2021A0011E4A","E4A",402545
"2021A0011E4B","E4B",405176
"2021A0011E4C","E4C",407807
"2021A0011E4E","E4E",410438
"2021A0011E4G","E4G",413069
"2021A0011E4H","E4H",415700
"2021A0011E4J","E4J",418331
"2021A0011E4K","E4K",420962
"2021A0011E4L","E4L",423593
"2021A0011E4M","E4M",426224
"2021A0011E4N","E4N",428855
"2021A0011E4P","E4P",431486
"2021A0011E4R","E4R",434117
"2021A0011E4S","E4S",436748
"2021A0011E4T","E4T",439379
"2021A0011E4V","E4V",442010
"2021A0011E4W","E4W",444641
"2021A0011E4X","E4X",447272
"2021A0011E4Y","E4Y",449903
"2021A0011E4Z","E4Z",452534
"2021A0011E5A","E5A",455165
"2021A0011E5B","E5B",457796
"2021A0011E5C","E5C",460427
"2021A0011E5E","E5E",463058
"2021A0011E5G","E5G",465689
"2021A0011E5H","E5H",468320
"2021A0011E5J","E5J",470951
"2021A0011E5K","E5K",473582
"2021A0011E5L","E5L",476213
"2021A0011E5M","E5M",478844
"2021A0011E5N","E5N",481475
"2021A0011E5P","E5P",484106
"2021A0011E5R","E5R",486737
"2021A0011E5S","E5S",489368
"2021A0011E5T","E5T",491999
"2021A0011E5V","E5V",494630
"2021A0011E6A","E6A",497261
"2021A0011E6B","E6B",499892
"2021A0011E6C","E6C",502523
"2021A0011E6E","E6E",505154
"2021A0011E6G","E6G",507785
"2021A0011E6H","E6H",510416
"2021A0011E6J","E6J",513047
"2021A0011E6K","E6K",515678
"2021A0011E6L","E6L",518309
"2021A0011E7A","E7A",520940
"2021A0011E7B","E7B",523571
