CFSAUID,LANDAREA
A0A,4136.6221
A0B,4152.6284
A0C,2733.4722
A0E,6365.8235
A0G,15499.6047
A0H,20867.7402
A0J,1823.4152
A0K,58466.1398
A0L,1490.5444
A0M,3493.0858
A0N,12012.2029
A0P,154110.1059
A0R,64964.7996
A1A,42.2284
A1B,52.2588
A1C,3.9805
A1E,14.2423
A1G,10.7733
A1H,153.9089
A1K,86.0335
A1L,29.6684
A1M,57.6063
A1N,15.6504
A1S,158.4788
A1V,104.5283
A1W,23.2536
A1X,36.4700
A1Y,130.7763
A2A,27.2342
A2B,27.6087
A2H,1494.7447
A2N,49.5011
A2V,34.1095
A5A,855.5309
A8A,4645.6008
B0C,1603.8466
B0E,5995.6604
B0H,2614.0401
B0J,5165.7381
B0K,3452.0117
B0L,215.4799
B0M,4101.9623
B0N,4851.2830
B0P,1789.8920
B0R,1105.3853
B0S,2829.9460
B0T,3963.5831
B0V,291.8703
B0W,4328.5247
B1A,30.7175
B1B,155.8567
B1C,237.7669
B1E,5.0542
B1G,6.2855
B1H,54.2751
B1J,281.5396
B1K,770.9546
B1L,183.4694
B1M,49.3320
B1N,55.3009
B1P,42.8730
B1R,25.4170
B1S,14.8871
B1T,180.6172
B1V,11.7201
B1W,35.9090
B1X,235.0407
B1Y,236.5393
B2A,78.6914
B2C,170.2944
B2E,73.0693
B2G,996.4274
B2H,311.9752
B2J,110.1724
B2N,57.1758
B2R,54.3199
B2S,458.5052
B2T,545.0617
B2V,11.2236
B2W,22.9358
B2X,12.0600
B2Y,6.3741
B2Z,118.3062
B3A,24.7420
B3B,3.0519
B3E,94.8735
B3G,32.5854
B3H,6.6375
B3J,0.9453
B3K,6.5399
B3L,4.4422
B3M,12.0434
B3N,7.5457
B3P,11.9286
B3R,14.7484
B3S,3.8052
B3T,215.2950
B3V,124.4740
B3Z,508.0347
B4A,19.8529
B4B,163.0519
B4C,33.9042
B4E,41.3849
B4G,115.2362
B4H,732.8223
B4N,321.1869
B4P,221.0262
B4R,7.7363
B4V,638.0046
B5A,553.1379
B6L,877.8391
B9A,78.4585
C0A,3089.0533
C0B,2005.1851
C1A,21.5076
C1B,233.9523
C1C,42.3774
C1E,149.1004
C1N,140.0025
E1A,99.0623
E1B,34.0983
E1C,12.2776
E1E,34.0378
E1G,447.7288
E1H,272.3461
E1J,169.1107
E1N,980.7260
E1V,915.9923
E1W,174.4149
E1X,451.1272
E2A,1937.2096
E2E,25.8261
E2G,32.4951
E2H,23.6453
E2J,31.2457
E2K,31.6109
E2L,2.4507
E2M,119.6854
E2N,91.1070
E2P,25.6766
E2S,311.7279
E2V,281.9287
E3A,1151.3480
E3B,521.3186
E3C,152.6019
E3E,257.5042
E3G,227.4319
E3L,363.2107
E3N,1441.2183
E3V,86.6808
E3Y,1163.2145
E3Z,171.6515
E4A,1248.8792
E4B,475.8974
E4C,580.8362
E4E,664.4041
E4G,436.7752
E4H,1016.5965
E4J,205.8624
E4K,252.6022
E4L,691.1698
E4M,442.1741
E4N,113.3426
E4P,364.3010
E4R,137.7570
E4S,394.6169
E4T,2237.1132
E4V,183.2842
E4W,595.6233
E4X,260.6329
E4Y,665.5381
E4Z,2490.1414
E5A,882.1724
E5B,347.8057
E5C,516.2180
E5E,39.5937
E5G,156.5210
E5H,372.7658
E5J,442.5738
E5K,600.1638
E5L,1553.2384
E5M,610.8687
E5N,601.3895
E5P,317.1822
E5R,631.3490
E5S,116.1286
E5T,477.7522
E5V,38.3193
E6A,2335.0003
E6B,1628.9512
E6C,563.0066
E6E,579.7759
E6G,571.8624
E6H,1001.8805
E6J,548.9555
E6K,811.5974
E6L,432.0840
E7A,601.2534
E7B,650.5028
E7C,1066.1272
E7E,914.2085
E7G,3710.5470
E7H,583.6354
E7J,777.2255
E7K,306.8673
E7L,1035.8081
E7M,435.0027
E7N,412.4201
E7P,341.7334
E8A,2478.2472
E8B,2049.8202
E8C,17.1494
E8E,1228.0521
E8G,1352.3319
E8J,173.8053
E8K,326.9680
E8L,654.6006
E8M,196.0859
E8N,78.2525
E8P,198.5975
E8R,229.6800
E8S,62.2297
E8T,185.8992
E9A,512.8748
E9B,567.6745
E9C,1488.7928
E9E,6211.0765
E9G,462.1294
E9H,262.4844
G0A,11122.0980
G0C,8551.1387
G0E,1463.3106
G0G,127524.3928
G0H,3019.2551
G0J,11515.5635
G0K,3827.3675
G0L,7984.2140
G0M,3126.5538
G0N,1560.1090
G0P,907.9263
G0R,7117.3534
G0S,3444.0204
G0T,2297.7322
G0V,38016.1790
G0W,23303.0543
G0X,31080.7623
G0Y,1773.6440
G0Z,620.9932
G1B,41.6431
G1C,20.7153
G1E,11.0731
G1G,10.1297
G1H,8.3869
G1J,6.2473
G1K,3.8560
G1L,3.9677
G1M,10.7409
G1N,2.4844
G1P,11.4638
G1R,3.0261
G1S,4.7890
G1T,4.7408
G1V,8.5447
G1W,8.4646
G1X,12.0263
G1Y,6.4974
G2A,20.4068
G2B,14.5983
G2C,7.5484
G2E,9.1608
G2G,51.2998
G2J,0.9948
G2K,16.0871
G2L,11.7615
G2M,22.3716
G2N,13.3945
G3A,85.7954
G3B,61.7340
G3C,671.6100
G3E,8.4509
G3G,33.9882
G3H,121.1154
G3J,41.2810
G3K,29.9346
G3L,666.2013
G3M,20.1956
G3N,165.8386
G3S,361.4882
G3Z,545.8467
G4A,51.5277
G4R,26778.6185
G4S,121.9205
G4T,187.3315
G4V,4544.5351
G4W,195.4893
G4X,2866.9162
G4Z,42369.1968
G5A,458.1944
G5B,41.1983
G5C,39.7103
G5H,55.2249
G5J,192.0236
G5L,62.2922
G5M,18.8570
G5N,175.9165
G5R,83.7418
G5T,556.7846
G5V,124.4443
G5X,164.5911
G5Y,88.4581
G5Z,98.8781
G6A,11.7402
G6B,278.6531
G6C,86.0979
G6E,107.5486
G6G,200.6784
G6H,214.2918
G6J,94.3022
G6K,3.6949
G6L,341.1145
G6P,30.2009
G6R,18.3115
G6S,62.0360
G6T,42.7389
G6V,24.8553
G6W,23.3304
G6X,7.9521
G6Y,17.3352
G6Z,95.7585
G7A,94.7399
G7B,264.2840
G7G,33.2581
G7H,129.9502
G7J,16.3521
G7K,11.7827
G7N,1934.1845
G7P,229.0277
G7S,35.9320
G7T,3.8322
G7X,277.5392
G7Y,33.5472
G7Z,2.3617
G8A,5.5706
G8B,104.6696
G8C,7.5392
G8E,82.7142
G8G,187.4938
G8H,151.3637
G8J,15119.9799
G8K,361.2722
G8L,16026.1190
G8M,409.2404
G8N,1131.6707
G8P,694.8744
G8T,21.7863
G8V,39.9274
G8W,57.0831
G8Y,23.2219
G8Z,8.2854
G9A,37.7682
G9B,82.8958
G9C,17.6852
G9H,439.6729
G9N,37.8763
G9P,37.3731
G9R,22.2648
G9T,66.1901
G9X,7796.8026
H1A,15.1650
H1B,13.2671
H1C,11.0985
H1E,10.9806
H1G,7.8410
H1H,4.5821
H1J,8.2921
H1K,6.1714
H1L,7.5319
H1M,4.9377
H1N,8.7485
H1P,5.1182
H1R,4.6352
H1S,4.7079
H1T,4.1367
H1V,5.0314
H1W,3.2347
H1X,2.7566
H1Y,2.6523
H1Z,6.9851
H2A,2.1482
H2B,2.5744
H2C,2.6704
H2E,1.9150
H2G,2.0126
H2H,1.1386
H2J,1.9263
H2K,3.5421
H2L,2.4144
H2M,3.3748
H2N,1.1300
H2P,1.6857
H2R,2.1826
H2S,2.5422
H2T,1.3553
H2V,4.4083
H2W,0.9836
H2X,1.5650
H2Y,0.5104
H2Z,0.5174
H3A,0.5669
H3B,0.3691
H3C,4.7286
H3E,3.7081
H3G,0.8859
H3H,3.7198
H3J,1.1000
H3K,4.4367
H3L,3.6271
H3M,2.8339
H3N,1.6611
H3P,2.7467
H3R,2.6791
H3S,2.8468
H3T,1.5744
H3V,1.7925
H3W,2.9969
H3X,3.4584
H3Y,2.5363
H3Z,1.5413
H4A,3.0336
H4B,3.0934
H4C,3.9029
H4E,4.5651
H4G,2.7796
H4H,3.1279
H4J,2.8353
H4K,4.3891
H4L,5.5300
H4M,2.7610
H4N,5.3313
H4P,3.4168
H4R,8.5006
H4S,16.1571
H4T,5.2708
H4V,2.6588
H4W,5.7786
H4X,1.6261
H7A,18.3298
H7B,13.5758
H7C,18.0816
H7E,18.3096
H7G,6.4765
H7H,6.1779
H7J,28.8811
H7K,11.5598
H7L,15.9364
H7M,11.1036
H7N,8.2897
H7P,16.1875
H7R,17.5033
H7S,9.6383
H7T,11.6602
H7V,5.6008
H7W,9.6847
H7X,12.7664
H7Y,6.3723
H8N,7.9675
H8P,4.4125
H8R,7.0720
H8S,12.4235
H8T,3.3164
H8Y,5.7689
H8Z,4.4481
H9A,4.5065
H9B,7.1053
H9C,9.2913
H9E,13.2161
H9G,4.1259
H9H,9.0398
H9J,11.1911
H9K,6.3849
H9P,15.3944
H9R,15.1388
H9S,9.4827
H9W,11.0308
H9X,23.9345
J0A,1320.2669
J0B,5103.8733
J0C,1080.3758
J0E,2236.4971
J0G,1048.4694
J0H,1954.1085
J0J,1510.2477
J0K,12791.2938
J0L,1274.3479
