"geo_name","Total population","Average age","Median age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago","LANDAREA"
"A0A",44930,47.2,51.6,29800,36480,64.4,0.3,35,55,4136.6221
"A0B",19285,51.6,57.2,28600,35160,60.3,0.3,0,50,4152.6284
"A0C",11970,51.2,56.4,26600,31760,57.6,0.3,10,50,2733.4722
"A0E",21210,49.6,54.8,27400,34640,63,0.3,0,25,6365.8235
"A0G",33315,50.7,56,26400,32040,55.9,0.3,15,65,15499.6047
"A0H",16745,50,55.2,26800,32200,58.4,0.3,0,10,20867.7402
"A0J",7495,50.7,55.6,26000,32720,59.3,0.3,0,0,1823.4152
"A0K",24660,50.5,55.2,28400,34200,60.5,0.3,30,85,58466.1398
"A0L",7505,46.8,50.8,32000,36920,62.5,0.2,0,0,1490.5444
"A0M",5465,50.5,55.6,29400,36440,63.6,0.2,0,0,3493.0858
"A0N",12385,51.5,56.8,24600,29520,51.6,0.3,0,15,12012.2029
"A0P",13060,36.8,36,39600,43520,78.8,0.3,35,270,154110.1059
"A0R",2660,35.8,36.4,55600,59550,89.6,0.2,0,20,64964.7996
"A1A",30090,44.4,45.2,38400,48200,71.2,0.3,165,1230,42.2284
"A1B",20905,39,34,28400,39960,71.4,0.3,340,2410,52.2588
"A1C",12710,42.1,39.6,28000,38840,71.8,0.4,95,665,3.9805
"A1E",26860,45.6,46.8,32400,39360,66.8,0.3,130,860,14.2423
"A1G",5805,43,44,36000,41840,75.2,0.3,0,60,10.7733
"A1H",6470,36.6,37.6,50400,55550,85.4,0.2,10,50,153.9089
"A1K",12345,40.8,43.2,42400,51250,78.2,0.3,15,70,86.0335
"A1L",22960,37.3,38,44400,50200,83.6,0.2,0,135,29.6684
"A1M",8405,40.7,42.8,42400,51040,77.6,0.3,0,65,57.6063
"A1N",22475,44.5,46,36000,40360,69.8,0.3,65,165,15.6504
"A1S",6105,43.3,45.6,36000,40480,74,0.3,0,20,158.4788
"A1V",11890,43.7,45.2,35200,42200,72.4,0.3,25,180,104.5283
"A1W",11175,42.3,44.4,39600,46440,77.2,0.3,15,75,23.2536
"A1X",15945,41.5,42.4,37600,41360,77.6,0.2,10,35,36.47
"A1Y",5440,47.9,52.4,27600,34360,61.6,0.3,15,30,130.7763
"A2A",9280,45.3,48,32400,39120,66.6,0.3,0,130,27.2342
"A2B",4740,47.3,50.8,26600,32400,65.4,0.3,0,0,27.6087
"A2H",25290,46.2,48.8,32000,37400,66.4,0.3,60,300,1494.7447
"A2N",8615,47.4,51.6,28200,34240,59.6,0.3,35,105,49.5011
"A2V",7450,37.9,38.8,51600,59000,86,0.2,20,225,34.1095
"A5A",8435,44.7,46.8,30600,37880,70.6,0.3,10,90,855.5309
"A8A",6475,48,52.4,27600,34000,62,0.3,0,40,4645.6008
"B0C",2750,47.5,52.4,31200,34960,56.5,0.3,15,30,1603.8466
"B0E",25920,48.6,54,30000,35000,58.7,0.3,65,370,5995.6604
"B0H",9795,48,53.6,29800,34320,63.4,0.3,25,60,2614.0401
"B0J",41030,48.9,54,30800,36920,61.4,0.3,140,570,5165.7381
"B0K",35140,47.7,52,30200,35000,60.4,0.3,115,305,3452.0117
"B0L",2335,48.9,54.4,28000,29520,57.4,0.3,0,0,215.4799
"B0M",17445,47.3,51.2,28800,32880,61.8,0.3,45,105,4101.9623
"B0N",40485,44.9,48,31600,35240,67.4,0.3,25,225,4851.283
"B0P",41540,44.9,47.6,30800,35280,64.8,0.3,70,425,1789.892
"B0R",6090,50.2,56,27800,32600,55.4,0.3,30,20,1105.3853
"B0S",17870,49.6,55.2,26400,31080,56.8,0.3,90,210,2829.946
"B0T",14730,49.5,54.8,27600,32920,58.9,0.3,70,145,3963.5831
"B0V",5655,48.8,54,25200,30640,58.8,0.3,55,125,291.8703
"B0W",25890,48.2,52.8,29200,33920,64.8,0.3,70,145,4328.5247
"B1A",14990,46.5,50,27400,32160,59.9,0.3,20,310,30.7175
"B1B",1235,49.5,54.4,30400,34700,58.4,0.3,0,0,155.8567
"B1C",1700,49.9,55.6,32800,36160,60.2,0.3,0,0,237.7669
"B1E",1535,46.1,49.2,28400,31950,58.8,0.2,0,0,5.0542
"B1G",1795,48.6,53.6,27200,32960,59.4,0.2,0,0,6.2855
"B1H",9150,47.9,52.8,28000,31960,57.4,0.3,0,60,54.2751
"B1J",1150,54.3,61.2,35200,39500,49.2,0.3,0,0,281.5396
"B1K",3335,49.3,54.8,34400,41320,65.4,0.3,0,25,770.9546
"B1L",4950,45.7,49.2,36000,40880,68.6,0.3,0,60,183.4694
"B1M",1270,46,49.2,34400,36700,65.2,0.3,0,30,49.332
"B1N",5605,44.1,46,26800,30200,58.6,0.3,25,180,55.3009
"B1P",14700,43.9,43.6,26800,31120,61.7,0.3,215,1480,42.873
"B1R",4480,45.7,48.4,35600,39000,65.6,0.2,0,30,25.417
"B1S",8825,48.2,51.2,31800,37480,61.4,0.3,55,260,14.8871
"B1T",400,53.1,61.2,32400,38000,57,0.3,0,0,180.6172
"B1V",6085,45.7,49.6,29000,32280,58.6,0.3,0,0,11.7201
"B1W",3520,29.2,25.4,16600,24200,64.4,0.3,0,0,35.909
"B1X",925,48.6,54.4,32800,40600,56.8,0.2,0,0,235.0407
"B1Y",5945,48.2,53.2,32000,36360,61,0.3,10,10,236.5393
"B2A",7710,49,54.4,28800,33240,59.2,0.3,0,15,78.6914
"B2C",265,53,60.4,29600,37200,56,0.3,0,0,170.2944
"B2E",55,64,66,,,,,,,73.0693
