"geo_name","cluster","LANDAREA","Total population","Median age","Average age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago"
"A0A",8,4136.6221,44930,51.6,47.2,29800,36480,64.4,0.3,35,55
"A0B",8,4152.6284,19285,57.2,51.6,28600,35160,60.3,0.3,0,50
"A0C",8,2733.4722,11970,56.4,51.2,26600,31760,57.6,0.3,10,50
"A0E",8,6365.8235,21210,54.8,49.6,27400,34640,63,0.3,0,25
"A0G",8,15499.6047,33315,56,50.7,26400,32040,55.9,0.3,15,65
"A0H",8,20867.7402,16745,55.2,50,26800,32200,58.4,0.3,0,10
"A0J",8,1823.4152,7495,55.6,50.7,26000,32720,59.3,0.3,0,0
"A0K",8,58466.1398,24660,55.2,50.5,28400,34200,60.5,0.3,30,85
"A0L",8,1490.5444,7505,50.8,46.8,32000,36920,62.5,0.2,0,0
"A0M",8,3493.0858,5465,55.6,50.5,29400,36440,63.6,0.2,0,0
"A0N",8,12012.2029,12385,56.8,51.5,24600,29520,51.6,0.3,0,15
"A0P",2,154110.1059,13060,36,36.8,39600,43520,78.8,0.3,35,270
"A0R",3,64964.7996,2660,36.4,35.8,55600,59550,89.6,0.2,0,20
"A1A",6,42.2284,30090,45.2,44.4,38400,48200,71.2,0.3,165,1230
"A1B",6,52.2588,20905,34,39,28400,39960,71.4,0.3,340,2410
"A1C",12,3.9805,12710,39.6,42.1,28000,38840,71.8,0.4,95,665
"A1E",11,14.2423,26860,46.8,45.6,32400,39360,66.8,0.3,130,860
"A1G",11,10.7733,5805,44,43,36000,41840,75.2,0.3,0,60
"A1H",2,153.9089,6470,37.6,36.6,50400,55550,85.4,0.2,10,50
"A1K",2,86.0335,12345,43.2,40.8,42400,51250,78.2,0.3,15,70
"A1L",2,29.6684,22960,38,37.3,44400,50200,83.6,0.2,0,135
"A1M",2,57.6063,8405,42.8,40.7,42400,51040,77.6,0.3,0,65
"A1N",11,15.6504,22475,46,44.5,36000,40360,69.8,0.3,65,165
"A1S",7,158.4788,6105,45.6,43.3,36000,40480,74,0.3,0,20
"A1V",11,104.5283,11890,45.2,43.7,35200,42200,72.4,0.3,25,180
"A1W",7,23.2536,11175,44.4,42.3,39600,46440,77.2,0.3,15,75
"A1X",7,36.47,15945,42.4,41.5,37600,41360,77.6,0.2,10,35
"A1Y",8,130.7763,5440,52.4,47.9,27600,34360,61.6,0.3,15,30
"A2A",11,27.2342,9280,48,45.3,32400,39120,66.6,0.3,0,130
"A2B",8,27.6087,4740,50.8,47.3,26600,32400,65.4,0.3,0,0
"A2H",11,1494.7447,25290,48.8,46.2,32000,37400,66.4,0.3,60,300
"A2N",8,49.5011,8615,51.6,47.4,28200,34240,59.6,0.3,35,105
"A2V",3,34.1095,7450,38.8,37.9,51600,59000,86,0.2,20,225
"A5A",11,855.5309,8435,46.8,44.7,30600,37880,70.6,0.3,10,90
"A8A",8,4645.6008,6475,52.4,48,27600,34000,62,0.3,0,40
"B0C",8,1603.8466,2750,52.4,47.5,31200,34960,56.5,0.3,15,30
"B0E",8,5995.6604,25920,54,48.6,30000,35000,58.7,0.3,65,370
"B0H",8,2614.0401,9795,53.6,48,29800,34320,63.4,0.3,25,60
"B0J",8,5165.7381,41030,54,48.9,30800,36920,61.4,0.3,140,570
"B0K",8,3452.0117,35140,52,47.7,30200,35000,60.4,0.3,115,305
"B0L",8,215.4799,2335,54.4,48.9,28000,29520,57.4,0.3,0,0
"B0M",8,4101.9623,17445,51.2,47.3,28800,32880,61.8,0.3,45,105
"B0N",8,4851.283,40485,48,44.9,31600,35240,67.4,0.3,25,225
"B0P",8,1789.892,41540,47.6,44.9,30800,35280,64.8,0.3,70,425
"B0R",8,1105.3853,6090,56,50.2,27800,32600,55.4,0.3,30,20
"B0S",8,2829.946,17870,55.2,49.6,26400,31080,56.8,0.3,90,210
"B0T",8,3963.5831,14730,54.8,49.5,27600,32920,58.9,0.3,70,145
"B0V",8,291.8703,5655,54,48.8,25200,30640,58.8,0.3,55,125
"B0W",8,4328.5247,25890,52.8,48.2,29200,33920,64.8,0.3,70,145
"B1A",8,30.7175,14990,50,46.5,27400,32160,59.9,0.3,20,310
"B1B",8,155.8567,1235,54.4,49.5,30400,34700,58.4,0.3,0,0
"B1C",8,237.7669,1700,55.6,49.9,32800,36160,60.2,0.3,0,0
"B1E",8,5.0542,1535,49.2,46.1,28400,31950,58.8,0.2,0,0
"B1G",8,6.2855,1795,53.6,48.6,27200,32960,59.4,0.2,0,0
"B1H",8,54.2751,9150,52.8,47.9,28000,31960,57.4,0.3,0,60
"B1J",4,281.5396,1150,61.2,54.3,35200,39500,49.2,0.3,0,0
"B1K",8,770.9546,3335,54.8,49.3,34400,41320,65.4,0.3,0,25
"B1L",8,183.4694,4950,49.2,45.7,36000,40880,68.6,0.3,0,60
"B1M",8,49.332,1270,49.2,46,34400,36700,65.2,0.3,0,30
"B1N",8,55.3009,5605,46,44.1,26800,30200,58.6,0.3,25,180
"B1P",12,42.873,14700,43.6,43.9,26800,31120,61.7,0.3,215,1480
"B1R",11,25.417,4480,48.4,45.7,35600,39000,65.6,0.2,0,30
"B1S",18,14.8871,8825,51.2,48.2,31800,37480,61.4,0.3,55,260
"B1T",4,180.6172,400,61.2,53.1,32400,38000,57,0.3,0,0
"B1V",8,11.7201,6085,49.6,45.7,29000,32280,58.6,0.3,0,0
"B1W",15,35.909,3520,25.4,29.2,16600,24200,64.4,0.3,0,0
"B1X",8,235.0407,925,54.4,48.6,32800,40600,56.8,0.2,0,0
"B1Y",8,236.5393,5945,53.2,48.2,32000,36360,61,0.3,10,10
"B2A",8,78.6914,7710,54.4,49,28800,33240,59.2,0.3,0,15
"B2C",4,170.2944,265,60.4,53,29600,37200,56,0.3,0,0
"B2E",,73.0693,55,66,64,,,,,,
"B2G",8,996.4274,15315,45.6,44.4,32800,38080,64,0.3,170,455
"B2H",8,311.9752,15330,49.6,46.5,31000,36680,61.9,0.3,75,245
"B2J",,110.1724,65,56.8,54,,,,,,
"B2N",8,57.1758,20815,47.2,45.7,28200,33600,63.9,0.3,135,800
"B2R",2,54.3199,2550,46.8,44.5,42000,51250,69.4,0.3,0,55
"B2S",7,458.5052,8010,42.4,40.8,37200,41600,76.4,0.2,10,55
"B2T",2,545.0617,17780,43.2,40.8,42000,54150,80.6,0.3,50,250
"B2V",7,11.2236,12250,43.2,41.7,40800,44760,73,0.2,40,280
"B2W",11,22.9358,33145,46.4,44.8,37600,41600,67.6,0.2,55,520
"B2X",11,12.06,12035,42,41.6,36000,41760,73,0.3,65,565
"B2Y",12,6.3741,15420,42,43.5,32800,37600,70.2,0.3,85,725
"B2Z",7,118.3062,8335,47.6,44.4,37200,40600,73,0.2,30,50
"B3A",12,24.742,21855,40.8,42.2,29800,34920,71,0.3,120,1720
"B3B",12,3.0519,1690,34.8,37.1,32000,34700,74.8,0.2,0,75
"B3E",7,94.8735,7085,44.4,42.2,38000,42120,72.2,0.2,0,20
"B3G",7,32.5854,11275,40.8,40.2,37600,40040,77,0.2,40,115
"B3H",10,6.6375,20790,29,37.6,25800,43160,64.8,0.4,675,3240
"B3J",10,0.9453,9090,28.4,34.3,27800,37840,73.6,0.4,415,2090
"B3K",12,6.5399,23205,35.2,40.1,31000,36480,75.2,0.3,250,1955
"B3L",12,4.4422,18405,34.8,38.4,31600,38640,74.6,0.3,195,1865
"B3M",12,12.0434,37555,37.2,40,31600,37560,70.8,0.3,825,5595
"B3N",12,7.5457,14945,39.6,41.6,34000,40520,69.8,0.3,135,1165
"B3P",6,11.9286,11390,39.6,41.8,36000,41760,70.4,0.3,150,1075
"B3R",19,14.7484,9500,38.4,38.9,28400,31920,70,0.3,35,605
"B3S",6,3.8052,13820,43.6,45.3,33200,36920,65,0.3,195,1470
"B3T",7,215.295,17775,41.6,40.2,39200,42000,77.6,0.2,110,335
"B3V",7,124.474,6135,46,43.7,38000,41800,73.8,0.3,15,70
"B3Z",2,508.0347,17840,45.6,42.4,42000,47080,74,0.3,55,215
"B4A",2,19.8529,18545,43.2,41.9,39600,47360,69.2,0.3,125,1175
"B4B",3,163.0519,19570,40.4,39.1,42800,50360,76.6,0.3,185,1220
"B4C",11,33.9042,18425,44,42.9,34000,36720,70.8,0.2,25,265
"B4E",7,41.3849,19715,40,39.2,38000,41200,79.2,0.2,75,400
"B4G",7,115.2362,5430,41.2,39.7,41200,42120,79.8,0.2,10,55
"B4H",8,732.8223,13725,50,46.5,29000,33960,62.7,0.3,45,155
"B4N",8,321.1869,18025,46.4,44.7,29000,34440,64.2,0.3,95,500
"B4P",8,221.0262,8780,47.6,45.9,28200,35280,57.5,0.3,120,560
"B4R",7,7.7363,2860,46.4,44,35600,37880,66.8,0.2,10,115
"B4V",8,638.0046,20375,51.6,47.9,29400,33880,61.9,0.3,30,365
"B5A",8,553.1379,16750,50,46.5,27800,33400,63.3,0.3,105,265
