"GEO_NAME","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","C1_COUNT_TOTAL"
"A0A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",44880
"A0A",384,"English only",43800
"A0A",385,"French only",0
"A0A",386,"English and French",1060
"A0A",387,"Neither English nor French",20
"A0A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",44880
"A0A",389,"English",44775
"A0A",390,"French",85
"A0A",391,"English and French",5
"A0A",392,"Neither English nor French",10
"A0A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",44880
"A0A",394,"Single responses",44800
"A0A",395,"Official languages",44630
"A0A",396,"English",44525
"A0A",397,"French",100
"A0A",398,"Non-official languages",175
"A0B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",19140
"A0B",384,"English only",18730
"A0B",385,"French only",0
"A0B",386,"English and French",400
"A0B",387,"Neither English nor French",15
"A0B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",19140
"A0B",389,"English",19085
"A0B",390,"French",40
"A0B",391,"English and French",5
"A0B",392,"Neither English nor French",5
"A0B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",19140
"A0B",394,"Single responses",19100
"A0B",395,"Official languages",19015
"A0B",396,"English",18975
"A0B",397,"French",45
"A0B",398,"Non-official languages",85
"A0C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",11850
"A0C",384,"English only",11680
"A0C",385,"French only",0
"A0C",386,"English and French",170
"A0C",387,"Neither English nor French",5
"A0C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",11850
"A0C",389,"English",11830
"A0C",390,"French",15
"A0C",391,"English and French",0
"A0C",392,"Neither English nor French",5
"A0C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",11850
"A0C",394,"Single responses",11825
"A0C",395,"Official languages",11775
"A0C",396,"English",11755
"A0C",397,"French",20
"A0C",398,"Non-official languages",50
"A0E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",20955
"A0E",384,"English only",20480
"A0E",385,"French only",5
"A0E",386,"English and French",455
"A0E",387,"Neither English nor French",10
"A0E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",20955
"A0E",389,"English",20905
"A0E",390,"French",45
"A0E",391,"English and French",0
"A0E",392,"Neither English nor French",0
"A0E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",20955
"A0E",394,"Single responses",20895
"A0E",395,"Official languages",20795
"A0E",396,"English",20750
"A0E",397,"French",40
"A0E",398,"Non-official languages",100
"A0G",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",33040
"A0G",384,"English only",32665
"A0G",385,"French only",0
"A0G",386,"English and French",360
"A0G",387,"Neither English nor French",15
"A0G",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",33040
"A0G",389,"English",32985
"A0G",390,"French",45
"A0G",391,"English and French",0
"A0G",392,"Neither English nor French",10
"A0G",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",33040
"A0G",394,"Single responses",32980
"A0G",395,"Official languages",32870
"A0G",396,"English",32815
"A0G",397,"French",55
"A0G",398,"Non-official languages",110
"A0H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",16595
"A0H",384,"English only",16420
"A0H",385,"French only",0
"A0H",386,"English and French",170
"A0H",387,"Neither English nor French",10
"A0H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",16595
"A0H",389,"English",16570
"A0H",390,"French",20
"A0H",391,"English and French",0
"A0H",392,"Neither English nor French",5
"A0H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",16595
"A0H",394,"Single responses",16575
"A0H",395,"Official languages",16530
"A0H",396,"English",16510
"A0H",397,"French",25
"A0H",398,"Non-official languages",45
"A0J",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",7425
"A0J",384,"English only",7355
"A0J",385,"French only",0
"A0J",386,"English and French",70
"A0J",387,"Neither English nor French",5
"A0J",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",7425
"A0J",389,"English",7410
"A0J",390,"French",5
"A0J",391,"English and French",0
"A0J",392,"Neither English nor French",0
"A0J",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",7425
"A0J",394,"Single responses",7415
"A0J",395,"Official languages",7390
"A0J",396,"English",7375
"A0J",397,"French",5
"A0J",398,"Non-official languages",25
"A0K",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",24480
"A0K",384,"English only",24170
"A0K",385,"French only",0
"A0K",386,"English and French",295
"A0K",387,"Neither English nor French",10
"A0K",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",24480
"A0K",389,"English",24420
"A0K",390,"French",50
"A0K",391,"English and French",10
"A0K",392,"Neither English nor French",5
"A0K",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",24480
"A0K",394,"Single responses",24430
"A0K",395,"Official languages",24305
"A0K",396,"English",24265
"A0K",397,"French",40
"A0K",398,"Non-official languages",125
"A0L",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",7495
"A0L",384,"English only",7325
"A0L",385,"French only",0
"A0L",386,"English and French",175
"A0L",387,"Neither English nor French",0
"A0L",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",7495
"A0L",389,"English",7470
"A0L",390,"French",25
"A0L",391,"English and French",0
"A0L",392,"Neither English nor French",0
"A0L",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",7495
"A0L",394,"Single responses",7480
"A0L",395,"Official languages",7445
"A0L",396,"English",7415
"A0L",397,"French",25
"A0L",398,"Non-official languages",40
"A0M",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5435
"A0M",384,"English only",5375
"A0M",385,"French only",0
"A0M",386,"English and French",60
"A0M",387,"Neither English nor French",0
"A0M",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5435
"A0M",389,"English",5435
"A0M",390,"French",0
"A0M",391,"English and French",0
"A0M",392,"Neither English nor French",0
"A0M",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5435
"A0M",394,"Single responses",5425
"A0M",395,"Official languages",5410
"A0M",396,"English",5405
"A0M",397,"French",5
"A0M",398,"Non-official languages",15
"A0N",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",12245
"A0N",384,"English only",11580
"A0N",385,"French only",0
"A0N",386,"English and French",655
"A0N",387,"Neither English nor French",5
"A0N",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",12245
"A0N",389,"English",12050
"A0N",390,"French",185
"A0N",391,"English and French",10
"A0N",392,"Neither English nor French",0
"A0N",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",12245
"A0N",394,"Single responses",12165
"A0N",395,"Official languages",12130
"A0N",396,"English",11920
"A0N",397,"French",210
"A0N",398,"Non-official languages",35
"A0P",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",12810
"A0P",384,"English only",12150
"A0P",385,"French only",15
"A0P",386,"English and French",580
"A0P",387,"Neither English nor French",65
"A0P",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",12810
"A0P",389,"English",12640
"A0P",390,"French",80
"A0P",391,"English and French",30
"A0P",392,"Neither English nor French",60
"A0P",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",12810
"A0P",394,"Single responses",12500
"A0P",395,"Official languages",10360
"A0P",396,"English",10235
"A0P",397,"French",125
"A0P",398,"Non-official languages",2140
"A0R",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2665
"A0R",384,"English only",2360
"A0R",385,"French only",5
"A0R",386,"English and French",295
"A0R",387,"Neither English nor French",0
"A0R",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2665
"A0R",389,"English",2595
"A0R",390,"French",65
"A0R",391,"English and French",5
"A0R",392,"Neither English nor French",0
"A0R",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2665
"A0R",394,"Single responses",2635
"A0R",395,"Official languages",2595
"A0R",396,"English",2530
"A0R",397,"French",65
"A0R",398,"Non-official languages",40
"A1A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",28765
"A1A",384,"English only",25625
"A1A",385,"French only",15
"A1A",386,"English and French",2950
"A1A",387,"Neither English nor French",170
"A1A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",28765
"A1A",389,"English",28345
"A1A",390,"French",180
"A1A",391,"English and French",65
"A1A",392,"Neither English nor French",165
"A1A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",28765
"A1A",394,"Single responses",28260
"A1A",395,"Official languages",26045
"A1A",396,"English",25865
"A1A",397,"French",175
"A1A",398,"Non-official languages",2220
"A1B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",20425
"A1B",384,"English only",18310
"A1B",385,"French only",25
"A1B",386,"English and French",1925
"A1B",387,"Neither English nor French",165
"A1B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",20425
"A1B",389,"English",20025
"A1B",390,"French",180
"A1B",391,"English and French",75
"A1B",392,"Neither English nor French",155
"A1B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",20425
"A1B",394,"Single responses",19900
"A1B",395,"Official languages",17225
"A1B",396,"English",17080
"A1B",397,"French",150
"A1B",398,"Non-official languages",2670
"A1C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",12700
"A1C",384,"English only",10995
"A1C",385,"French only",5
"A1C",386,"English and French",1655
"A1C",387,"Neither English nor French",45
"A1C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",12700
"A1C",389,"English",12470
